date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:20	6455/6455	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Aug%202021%2022:32:32%20GMT	https://sb-admin-pro.startbootstrap.com/robots.txt		(from )
18:44:20	62345/62345	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:32%20GMT	https://sb-admin-pro.startbootstrap.com/	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/index.html	(from )
18:44:21	427819/427819	---MCZ	200	added ('OK')	text/css	etag:W/%221de209d56b384153dbc8d6b681005a30%22	https://sb-admin-pro.startbootstrap.com/css/styles.css	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/css/styles.css	(from https://sb-admin-pro.startbootstrap.com/)
18:44:21	24796/24796	---M--	200	added ('OK')	image/png	etag:%22193f1f005749ce9bc8a0dcc2a28da331%22	https://sb-admin-pro.startbootstrap.com/assets/img/favicon.png	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/assets/img/favicon.png	(from https://sb-admin-pro.startbootstrap.com/)
18:44:23	1195450/1195450	---M-Z	200	added ('OK')	application/javascript	etag:%2260510736-123dba%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/js/all.min.js	E:/Template%20Web/SB-ADMIN-PRO/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/js/all.min.js	(from https://sb-admin-pro.startbootstrap.com/)
18:44:23	75779/75779	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e59-12803%22	https://cdnjs.cloudflare.com/ajax/libs/feather-icons/4.28.0/feather.min.js	E:/Template%20Web/SB-ADMIN-PRO/cdnjs.cloudflare.com/ajax/libs/feather-icons/4.28.0/feather.min.js	(from https://sb-admin-pro.startbootstrap.com/)
18:44:23	35662/35662	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2026%20Aug%202021%2011:44:24%20GMT	https://sb-admin-pro.startbootstrap.com/cdn-cgi/bm/cv/669835187/api.js	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/cdn-cgi/bm/cv/669835187/api.js	(from https://sb-admin-pro.startbootstrap.com/)
18:44:24	62345/62345	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:32%20GMT	https://sb-admin-pro.startbootstrap.com/index.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/index-2.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:25	20798/20798	---M--	200	added ('OK')	image/png	etag:%224839ea017ac07d7ac4d14884891d881d%22	https://sb-admin-pro.startbootstrap.com/assets/img/illustrations/profiles/profile-3.png	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/assets/img/illustrations/profiles/profile-3.png	(from https://sb-admin-pro.startbootstrap.com/)
18:44:25	15029/15029	---M--	200	added ('OK')	image/png	etag:%227ee997bd03b37c6788909e04c2e2f044%22	https://sb-admin-pro.startbootstrap.com/assets/img/illustrations/profiles/profile-2.png	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/assets/img/illustrations/profiles/profile-2.png	(from https://sb-admin-pro.startbootstrap.com/)
